w1,w2,w3,w4,score,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
0.0,1.0,0.2631888592373994,0.6109036011618659,4954.3,2863,2400,4428,5246,2254,789,4296,10240,5632,11395
0.0,1.0,0.2694971032873251,0.6051119300870482,3003.2,5955,2599,207,2993,3480,1238,819,7889,2642,2210
0.0,1.0,0.2673083668780177,0.6069257339031846,4178.3,6453,6252,1071,6964,4079,781,5912,2765,2154,5352
0.0,1.0,0.2705422486071312,0.6044060645921058,2404.2,1128,1235,806,1435,1288,5272,1582,2118,2653,6525
0.0,1.0,0.2651490513913521,0.6079634536110702,4716.0,2762,5532,2082,409,3023,17390,1190,560,12884,1328
0.0,1.0,0.27009796476722286,0.603938766591391,4673.5,3113,1236,3331,4723,8780,13566,7053,3237,766,930
0.0,1.0,0.27418073073581267,0.6002280421708582,3012.6,5327,1188,2090,7516,7447,634,1418,554,146,3806
0.0,1.0,0.27210775891970357,0.6019389298322885,4514.7,12083,2593,4019,2398,1654,1509,9423,1897,9087,484
0.0,1.0,0.2753784485439847,0.5990637533541092,2860.1,3189,327,2153,192,2292,5991,5898,1558,4196,2805
0.0,1.0,0.2725839470559124,0.6011432191478995,2635.5,1577,768,5328,1992,470,4039,5179,5790,99,1113
0.0,1.0,0.26932563605146315,0.6034209718004935,2693.4,3740,1799,345,3595,410,3007,1286,2598,373,9781
0.0,1.0,0.2667982723269086,0.6052895202170849,7133.2,1852,354,2685,2632,2692,33236,3201,6426,12810,5444
0.0,1.0,0.2746628915877154,0.5950688446440547,4073.7,11409,4030,1397,3893,1732,765,11224,2649,2272,1366
0.0,1.0,0.27629354620978713,0.5938613234315159,2925.0,1784,3939,5466,2743,4695,1831,3569,1422,3628,173
0.0,1.0,0.2736317571531815,0.5957170635865526,2793.8,8872,499,2032,2619,462,1715,7633,260,499,3347
0.0,1.0,0.2707753847841925,0.597590928405522,2764.2,1947,3053,1119,383,2797,2801,3133,5042,1028,6339
0.0,1.0,0.2681941060034971,0.5993146564411943,4365.9,5970,5572,1603,3272,2383,2831,1338,7063,3627,10000
0.0,1.0,0.2699830561578046,0.5976117318578945,2955.2,915,4215,1641,2259,1453,5448,4162,75,7987,1397
0.0,1.0,0.26805185832312206,0.5989110851453091,3781.1,366,1101,5153,88,8787,4901,3530,3507,1354,9024
0.0,1.0,0.26847897165597556,0.5987130035406297,3943.4,5188,3405,3891,11629,3378,4104,860,469,5999,511
0.0,1.0,0.269325467453937,0.5982396936017393,3129.0,1449,1664,5249,3359,1158,2986,7899,2351,295,4880
0.0,1.0,0.2678693976520514,0.5990524280562097,1956.6,358,114,5707,282,729,2347,2795,6353,241,640
0.0,1.0,0.2609792771781926,0.5981051279429791,3882.0,2119,2922,148,3227,8311,2434,13021,1539,3000,2099
0.0,1.0,0.259598608774209,0.5957188865276704,4721.2,5281,283,4107,11495,12284,3452,8624,711,653,322
0.0,1.0,0.25563665737632113,0.5878703667533007,5367.3,1300,16998,2158,13659,2207,7542,1677,493,4956,2683
0.0,1.0,0.2500262915253793,0.5769016649764415,4064.9,1759,3203,3272,6860,1870,5647,10414,4945,1130,1549
0.0,1.0,0.24824090556683737,0.5741281381681469,4296.2,2825,1752,362,3603,518,15962,15423,101,2049,367
0.0,1.0,0.24571415942324065,0.5700194415945897,2627.7,2757,2368,8049,1589,1389,426,1749,894,752,6304
0.0,1.0,0.25168671429764616,0.5783752067873245,4528.1,1851,2799,4675,5435,672,6852,7164,5203,5635,4995
0.0,1.0,0.2482934834494008,0.5727918959984034,2931.0,2165,101,8455,3913,3704,602,4622,376,5036,336
0.0,1.0,0.25286358789273067,0.5789936748298623,2363.3,2656,1304,420,248,1349,5623,349,1781,6108,3795
0.0,1.0,0.26939574256855797,0.601182372061487,4416.2,7145,9257,6673,3215,1513,942,4354,3591,7066,406
0.0,1.0,0.27289159853854833,0.6025496846971065,3505.0,9587,7679,792,4329,2554,1475,1815,2785,3264,770
0.0,1.0,0.2721844688985307,0.6024236685892572,3181.2,4543,7643,5577,2417,1058,1952,579,2504,5325,214
0.0,1.0,0.2688076451768434,0.6000805085329332,2880.3,703,3610,1048,427,6359,660,4906,3592,1898,5600
0.0,1.0,0.24777798064687956,0.5823461819315374,3429.8,6347,10632,3828,161,1945,2662,1179,486,1065,5993
0.0,1.0,0.2500069502340189,0.5847668019117321,3778.7,1451,2742,1748,3283,10409,5224,1730,6330,2986,1884
0.0,1.0,0.24846149748738314,0.5834347349554795,5552.0,11167,1628,2336,6720,4860,16147,10817,312,1103,430
0.0,1.0,0.2398129891908375,0.5723821980969218,3151.8,1679,1259,6649,975,2414,598,3487,1436,8238,4783
0.0,1.0,0.2428802701732339,0.5759389885994753,2473.8,1192,3957,2089,3443,2114,698,3927,2537,898,3883
0.0,1.0,0.27339315704012057,0.6101461984390073,3642.4,386,767,885,17681,4554,3176,5280,2358,385,952
0.0,1.0,0.2734277518799278,0.6103802954338143,1459.0,5573,590,602,1086,294,2937,813,808,640,1247
0.0,1.0,0.23449504945011315,0.5787294347425288,3398.9,6404,2528,2512,2087,2928,2609,1549,8666,1290,3416
0.0,1.0,0.23564033773304657,0.5800786012725689,3195.7,4482,1292,1876,14167,3018,145,951,3049,609,2368
0.0,1.0,0.23823004331260791,0.5826881014316104,3052.6,8567,5718,600,1411,535,1011,4566,2830,5074,214
0.0,1.0,0.27044617299778245,0.6173886421108067,2764.2,3071,1704,481,2872,127,905,13207,317,621,4337
0.0,1.0,0.23673501292646457,0.5840018106467787,3697.4,13449,2236,1855,3550,2841,3324,2471,357,772,6119
0.0,1.0,0.23604438865824204,0.5836968965972891,4470.5,4888,2621,1224,1060,1343,9220,7822,6289,5328,4910
0.0,1.0,0.23147167816173952,0.5797925311262668,4543.0,7334,7764,667,702,1633,13590,742,10084,1816,1098
0.0,1.0,0.22670206347265023,0.575668236637473,5157.6,3651,8984,3363,2485,1310,126,10821,11274,8187,1375
0.0,1.0,0.21869736204830723,0.5686699826752818,1536.7,432,3383,996,1456,1432,4044,691,408,1893,632
0.0,1.0,0.2333206858206131,0.5804577337896573,5833.5,2439,10891,2455,6081,6507,10750,4124,464,3446,11178
0.0,1.0,0.2237567896154072,0.5714523579683298,4214.8,691,1599,5036,12285,219,1963,6309,698,2217,11131
0.0,1.0,0.22063593004161974,0.568983450716461,3541.6,4137,377,5233,7937,3024,947,1571,6682,1963,3545
0.0,1.0,0.2211109562312578,0.5696640565277669,2500.2,244,1610,4006,5179,2103,1171,1892,1146,5363,2288
0.0,1.0,0.22771358152342272,0.5752663211581537,2750.7,4430,1376,4195,3406,4272,136,162,6633,308,2589
0.0,1.0,0.23241116075348578,0.5793700396721871,2924.9,2730,11504,3451,124,797,6808,438,1348,47,2002
0.0,1.0,0.23636778384059776,0.582781275330375,3790.7,2517,6575,2019,432,153,3747,2486,2307,6510,11161
0.0,1.0,0.23568396317186732,0.5823753112333488,3114.0,1262,2541,578,6650,1782,10958,888,4856,542,1083
0.0,1.0,0.2390419319075714,0.5852097770670011,5276.5,1218,7016,12845,10367,3420,8210,2617,3706,496,2870
0.0,1.0,0.2322819962688989,0.5789268130353752,3637.5,7133,7400,1902,7174,1081,4851,867,2177,1672,2118
0.0,1.0,0.23241359743787615,0.5792002264375917,4973.5,2066,4847,6351,4774,14562,4439,5179,6373,441,703
